"DeptCodeDW","Province","2010-11","2011-12","2010-11","2011-12","2012-13"
"CITT","QC (minus NCR)",0,0,0,0,0
"CITT","NB",0,0,0,0,0
"CITT","NS",0,0,0,0,0
"CITT","PE",0,0,0,0,0
"CITT","NL",0,0,0,0,0
"CITT","Abroad",0,0,0,0,0
"CPCC","NU",0,0,0,0,0
"CPCC","NT",0,0,0,0,1
"CPCC","YT",0,0,0,0,1
"CPCC","BC",0,0,0,0,0
"CPCC","AB",0,0,0,0,0
"CPCC","SK",0,0,0,0,0
"CPCC","MB",0,0,0,0,0
"CPCC","NCR ON",5,4,5,4,7
"CPCC","NCR QC",0,0,0,0,0
"CPCC","ON (minus NCR)",0,0,0,0,0
"CPCC","QC (minus NCR)",0,0,0,0,0
"CPCC","NB",0,0,0,0,0
"CPCC","NS",0,0,0,0,0
"CPCC","PE",0,0,0,0,0
"CPCC","NL",0,0,0,0,0
"CPCC","Abroad",0,0,0,0,0
"CRTC","NU",0,0,0,0,0
"CRTC","NT",0,0,0,0,0
"CRTC","YT",0,0,0,0,0
"CRTC","BC",4,6,4,6,6
"CRTC","AB",3,2,3,2,2
"CRTC","SK",2,2,2,2,2
"CRTC","MB",2,2,2,2,2
"CRTC","NCR ON",0,0,0,0,0
"CRTC","NCR QC",402,426,402,426,421
"CRTC","ON (minus NCR)",2,2,2,2,1
"CRTC","QC (minus NCR)",2,6,2,6,6
"CRTC","NB",0,0,0,0,0
"CRTC","NS",6,5,6,5,4
"CRTC","PE",0,0,0,0,0
"CRTC","NL",0,0,0,0,0
"CRTC","Abroad",0,0,0,0,0
"CSA","NU",0,0,0,0,0
"CSA","NT",0,0,0,0,0
"CSA","YT",0,0,0,0,0
"CSA","BC",0,0,0,0,0
"CSA","AB",0,0,0,0,0
"CSA","SK",0,0,0,0,0
"CSA","MB",0,0,0,0,0
"CSA","NCR ON",64,65,64,65,52
"CSA","NCR QC",0,0,0,0,0
"CSA","ON (minus NCR)",2,1,2,1,1
"CSA","QC (minus NCR)",689,678,689,678,599
"CSA","NB",0,0,0,0,0
"CSA","NS",0,0,0,0,0
"CSA","PE",0,0,0,0,0
"CSA","NL",0,0,0,0,0
"CSA","Abroad",11,11,11,11,11
"CSC","NU",0,0,0,0,0
"CSC","NT",4,1,4,1,3
"CSC","YT",1,0,1,0,0
"CSC","BC",2723,2752,2723,2752,2701
"CSC","AB",1984,2066,1984,2066,2097
"CSC","SK",1459,1501,1459,1501,1515
"CSC","MB",603,635,603,635,638
"CSC","NCR ON",1505,1647,1505,1647,1497
"CSC","NCR QC",9,8,9,8,8
"CSC","ON (minus NCR)",4019,4229,4019,4229,4056
"CSC","QC (minus NCR)",4047,4201,4047,4201,4130
"CSC","NB",1225,1233,1225,1233,1172
"CSC","NS",651,676,651,676,626
"CSC","PE",18,18,18,18,17
"CSC","NL",41,45,41,45,41
"CSC","Abroad",0,0,0,0,0
"CSEC","NU",0,0,0,0,0
"CSEC","NT",0,0,0,0,0
"CSEC","YT",0,0,0,0,0
"CSEC","BC",0,0,0,0,0
