"DeptCodeDW","Age Band","2010-11","2011-12","2010-11","2011-12","2012-13"
"FEDSO","Missing",0,0,0,0,0
"FIN","< 20",0,0,0,0,1
"FIN","20-24",25,21,25,21,14
"FIN","25-29",126,124,126,124,106
"FIN","30-34",142,141,142,141,134
"FIN","35-39",137,131,137,131,142
"FIN","40-44",89,96,89,96,100
"FIN","45-49",100,90,100,90,98
"FIN","50-54",105,100,105,100,95
"FIN","55-59",46,53,46,53,40
"FIN","60-64",30,22,30,22,21
"FIN","65-69",5,2,5,2,5
"FIN","70 +",0,1,0,1,0
"FIN","Missing",0,0,0,0,0
"FJA","< 20",0,0,0,0,1
"FJA","20-24",4,2,4,2,0
"FJA","25-29",4,3,4,3,4
"FJA","30-34",12,8,12,8,12
"FJA","35-39",7,8,7,8,8
"FJA","40-44",18,16,18,16,21
"FJA","45-49",59,52,59,52,62
"FJA","50-54",161,150,161,150,125
"FJA","55-59",275,248,275,248,236
"FJA","60-64",317,342,317,342,347
"FJA","65-69",192,214,192,214,225
"FJA","70 +",127,118,127,118,117
"FJA","Missing",0,0,0,0,0
"FO","< 20",27,33,27,33,32
"FO","20-24",348,341,348,341,306
"FO","25-29",858,822,858,822,722
"FO","30-34",1154,1114,1154,1114,1037
"FO","35-39",1263,1273,1263,1273,1230
"FO","40-44",1330,1382,1330,1382,1316
"FO","45-49",1855,1736,1855,1736,1581
"FO","50-54",2166,2105,2166,2105,2052
"FO","55-59",1389,1446,1389,1446,1365
"FO","60-64",498,545,498,545,518
"FO","65-69",103,111,103,111,114
"FO","70 +",13,15,13,15,21
"FO","Missing",0,0,0,0,0
"FORDQ","< 20",0,0,0,0,0
"FORDQ","20-24",24,23,24,23,17
"FORDQ","25-29",39,27,39,27,27
"FORDQ","30-34",54,38,54,38,30
"FORDQ","35-39",64,60,64,60,55
"FORDQ","40-44",56,50,56,50,39
"FORDQ","45-49",67,62,67,62,53
"FORDQ","50-54",89,84,89,84,59
"FORDQ","55-59",45,43,45,43,41
"FORDQ","60-64",13,12,13,12,15
"FORDQ","65-69",5,2,5,2,3
"FORDQ","Missing",0,0,0,0,0
"FTRAC","< 20",1,1,1,1,0
"FTRAC","20-24",32,35,32,35,25
"FTRAC","25-29",54,54,54,54,51
"FTRAC","30-34",45,60,45,60,57
"FTRAC","35-39",57,67,57,67,67
"FTRAC","40-44",67,72,67,72,73
"FTRAC","45-49",33,35,33,35,46
"FTRAC","50-54",25,28,25,28,30
"FTRAC","55-59",21,20,21,20,20
"FTRAC","60-64",4,4,4,4,5
"FTRAC","65-69",1,0,1,0,0
"FTRAC","Missing",0,0,0,0,0
"GG","< 20",1,0,1,0,0
"GG","20-24",20,5,20,5,6
"GG","25-29",13,12,13,12,10
"GG","30-34",21,14,21,14,15
"GG","35-39",22,22,22,22,24
"GG","40-44",16,25,16,25,23
"GG","45-49",30,28,30,28,21
"GG","50-54",34,27,34,27,25
"GG","55-59",20,19,20,19,18
"GG","60-64",8,7,8,7,9
"GG","65-69",3,5,3,5,5
"GG","70 +",2,2,2,2,2
"GG","Missing",0,0,0,0,0
"GSC","< 20",32,15,32,15,15
"GSC","20-24",668,495,668,495,329
"GSC","25-29",1260,1147,1260,1147,957
"GSC","30-34",1537,1453,1537,1453,1281
"GSC","35-39",1593,1631,1593,1631,1539
"GSC","40-44",1759,1700,1759,1700,1545
"GSC","45-49",2265,2145,2265,2145,1895
"GSC","50-54",2620,2511,2620,2511,2231
"GSC","55-59",1731,1676,1731,1676,1515
"GSC","60-64",712,687,712,687,632
"GSC","65-69",169,179,169,179,166
"GSC","70 +",39,39,39,39,39
"GSC","Missing",0,0,0,0,0
"H","< 20",34,32,34,32,6
"H","20-24",380,290,380,290,226
"H","25-29",1051,1008,1051,1008,774
"H","30-34",1500,1509,1500,1509,1314
"H","35-39",1429,1550,1429,1550,1521
"H","40-44",1366,1416,1366,1416,1395
"H","45-49",1514,1514,1514,1514,1429
"H","50-54",1437,1477,1437,1477,1405
"H","55-59",1045,1078,1045,1078,957
"H","60-64",503,536,503,536,481
"H","65-69",105,125,105,125,152
"H","70 +",39,43,39,43,41
"H","Missing",0,0,0,0,0
"HMIRC","< 20",1,1,1,1,2
"HMIRC","20-24",2,0,2,0,0
"HMIRC","25-29",7,3,7,3,2
"HMIRC","30-34",5,3,5,3,1
"HMIRC","35-39",9,5,9,5,3
"HMIRC","40-44",3,6,3,6,7
"HMIRC","45-49",7,10,7,10,8
"HMIRC","50-54",4,6,4,6,2
"HMIRC","55-59",7,5,7,5,5
"HMIRC","60-64",1,1,1,1,1
"HMIRC","65-69",0,0,0,0,0
"HMIRC","Missing",0,0,0,0,0
"HRSD","< 20",63,35,63,35,17
"HRSD","20-24",1075,757,1075,757,447
"HRSD","25-29",2308,1814,2308,1814,1429
"HRSD","30-34",2745,2451,2745,2451,2161
"HRSD","35-39",2898,2775,2898,2775,2548
"HRSD","40-44",3222,3060,3222,3060,2761
"HRSD","45-49",3848,3607,3848,3607,3245
"HRSD","50-54",4386,4168,4386,4168,3740
"HRSD","55-59",2862,2774,2862,2774,2440
"HRSD","60-64",1027,1049,1027,1049,981
"HRSD","65-69",188,227,188,227,237
"HRSD","70 +",39,39,39,39,40
"HRSD","Missing",0,0,0,0,0
"IJC","< 20",1,0,1,0,0
"IJC","20-24",2,1,2,1,1
"IJC","25-29",2,1,2,1,3
"IJC","30-34",3,2,3,2,3
"IJC","35-39",3,3,3,3,2
"IJC","40-44",1,3,1,3,4
"IJC","45-49",3,4,3,4,3
"IJC","50-54",5,3,5,3,4
"IJC","55-59",4,4,4,4,5
"IJC","60-64",3,4,3,4,2
"IJC","65-69",1,1,1,1,3
"IJC","70 +",2,2,2,2,2
"IJC","Missing",0,0,0,0,0
"INAC","< 20",11,6,11,6,10
"INAC","20-24",231,240,231,240,205
"INAC","25-29",562,491,562,491,393
"INAC","30-34",708,732,708,732,654
"INAC","35-39",810,799,810,799,750
"INAC","40-44",768,784,768,784,756
"INAC","45-49",789,769,789,769,734
"INAC","50-54",731,761,731,761,754
"INAC","55-59",520,523,520,523,440
"INAC","60-64",240,236,240,236,217
"INAC","65-69",45,54,45,54,51
"INAC","70 +",12,14,12,14,11
"INAC","Missing",0,0,0,0,0
"IPC","< 20",0,0,0,0,0
"IPC","20-24",9,10,9,10,7
"IPC","25-29",29,25,29,25,20
"IPC","30-34",36,46,36,46,45
"IPC","35-39",28,34,28,34,42
"IPC","40-44",34,33,34,33,32
"IPC","45-49",39,43,39,43,38
"IPC","50-54",32,33,32,33,36
"IPC","55-59",34,36,34,36,23
"IPC","60-64",14,11,14,11,13
"IPC","65-69",1,2,1,2,2
"IPC","Missing",0,0,0,0,0
"IRB","< 20",0,0,0,0,0
"IRB","20-24",33,32,33,32,31
"IRB","25-29",97,82,97,82,77
"IRB","30-34",93,97,93,97,84
"IRB","35-39",98,99,98,99,106
"IRB","40-44",146,147,146,147,157
"IRB","45-49",144,137,144,137,133
"IRB","50-54",196,186,196,186,176
"IRB","55-59",135,139,135,139,138
"IRB","60-64",86,82,86,82,85
"IRB","65-69",34,40,34,40,33
"IRB","70 +",16,19,16,19,14
"IRB","Missing",0,0,0,0,0
"ISC","< 20",8,4,8,4,7
"ISC","20-24",207,113,207,113,68
"ISC","25-29",538,460,538,460,361
"ISC","30-34",734,656,734,656,604
"ISC","35-39",769,753,769,753,711
"ISC","40-44",722,711,722,711,695
"ISC","45-49",882,841,882,841,754
"ISC","50-54",903,899,903,899,851
"ISC","55-59",530,516,530,516,487
"ISC","60-64",231,227,231,227,187
"ISC","65-69",51,39,51,39,43
"ISC","70 +",16,22,16,22,14
"ISC","Missing",0,0,0,0,0
"JUS","< 20",4,5,4,5,1
"JUS","20-24",162,137,162,137,73
"JUS","25-29",527,505,527,505,350
"JUS","30-34",716,671,716,671,621
"JUS","35-39",798,768,798,768,718
"JUS","40-44",799,852,799,852,820
"JUS","45-49",794,773,794,773,755
"JUS","50-54",647,676,647,676,639
"JUS","55-59",470,467,470,467,451
"JUS","60-64",184,199,184,199,216
"JUS","65-69",40,61,40,61,66
"JUS","70 +",17,16,17,16,15
"JUS","Missing",0,0,0,0,0
"LAC","< 20",0,6,0,6,1
"LAC","20-24",47,35,47,35,25
"LAC","25-29",103,88,103,88,64
"LAC","30-34",136,126,136,126,80
"LAC","35-39",158,163,158,163,154
"LAC","40-44",140,148,140,148,136
"LAC","45-49",189,175,189,175,147
"LAC","50-54",212,195,212,195,170
"LAC","55-59",146,154,146,154,97
"LAC","60-64",41,45,41,45,35
"LAC","65-69",9,10,9,10,3
"LAC","70 +",3,0,3,0,1
"LAC","Missing",0,0,0,0,0
